date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2024-05-14,919.1,923.5,905.0,911.0,58790,191,53581610.0
2024-05-13,939.4,943.8,910.0,914.15,2169,231,2020476.0
2024-05-10,900.05,966.4,900.0,938.35,5907,423,5559580.0
2024-05-09,938.95,938.95,899.4,902.0,963,52,875180.0
2024-05-08,917.0,935.0,915.0,916.05,1099,141,1016832.0
2024-05-07,910.0,927.5,898.0,915.15,3912,138,3555586.0
2024-05-06,884.65,913.9,884.65,909.3,2213,148,2002811.0
2024-05-03,930.9,941.5,879.0,892.5,10714,785,9779403.0
2024-05-02,935.5,939.5,918.05,930.9,9963,654,9239124.0
2024-04-30,942.3,961.3,935.5,938.4,20998,1144,19859070.0
2024-04-29,978.95,978.95,927.4,945.5,1465,349,1390863.0
2024-04-26,945.0,952.95,940.0,950.4,1009,89,953317.0
2024-04-25,945.0,954.45,927.3,942.45,1861,226,1749176.0
2024-04-24,981.95,981.95,940.0,943.0,2193,125,2116069.0
2024-04-23,937.1,952.25,928.5,945.25,1772,149,1662399.0
2024-04-22,906.55,940.0,900.6,908.7,23063,95,21011489.0
2024-04-19,944.9,944.9,865.45,895.85,2788,190,2495901.0
2024-04-18,842.85,910.05,836.05,887.35,4724,183,4188146.0
2024-04-16,836.0,880.6,825.45,832.0,16455,76,13675578.0
2024-04-15,823.55,841.95,820.4,832.25,1255,107,1040528.0
2024-04-12,823.0,829.2,816.65,825.5,27467,86,22671236.0
2024-04-10,821.05,823.85,810.0,822.05,734,59,599003.0
2024-04-09,809.3,811.0,799.0,801.2,1258,295,1012104.0
2024-04-08,839.9,839.9,780.0,807.3,917,46,728848.0
2024-04-05,794.4,796.7,782.0,783.6,1241,60,979460.0
2024-04-04,815.35,816.9,794.4,796.9,5261,161,4230980.0
2024-04-03,795.0,825.7,784.3,817.2,1656,66,1352481.0
2024-04-02,815.65,816.65,798.75,800.0,885,91,711196.0
2024-04-01,762.0,820.2,762.0,816.3,465,40,379158.0
2024-03-28,812.8,828.0,812.8,821.2,1463,189,1206586.0
2024-03-27,829.8,829.8,810.25,819.0,262613,35,214121645.0
2024-03-26,850.0,850.0,809.0,809.7,3459,117,2836067.0
2024-03-22,824.0,842.45,824.0,831.75,544,33,452016.0
2024-03-21,836.55,837.2,811.95,817.85,638,47,523858.0
2024-03-20,848.3,848.3,820.05,831.05,619,76,513948.0
2024-03-19,821.0,831.55,821.0,824.45,303,41,250871.0
2024-03-18,825.0,825.0,809.65,819.8,477,47,390299.0
2024-03-15,777.3,821.8,777.3,811.95,17282,97,13804526.0
2024-03-14,759.8,795.0,759.8,790.5,1337,102,1049581.0
2024-03-13,783.4,791.25,752.9,764.1,572,56,441231.0
2024-03-12,795.05,802.25,792.75,797.7,894,90,712195.0
2024-03-11,849.0,849.0,789.75,792.4,1210,113,968504.0
2024-03-07,790.0,806.75,789.05,795.0,2473,93,1967101.0
2024-03-06,763.8,791.4,755.5,788.75,1975,224,1531307.0
2024-03-05,740.0,777.5,733.7,764.8,12930,299,9854562.0
2024-03-04,738.0,746.7,732.7,736.15,720,41,533393.0
2024-03-02,727.4,727.8,690.75,723.25,153,9,108849.0
2024-03-01,727.1,730.0,719.0,727.05,395,29,286549.0
2024-02-29,726.4,734.1,699.9,720.95,1401,79,1000990.0
2024-02-28,726.0,748.6,725.0,727.2,1730,84,1264911.0
2024-02-27,725.0,728.5,704.0,725.05,2714,241,1961005.0
2024-02-26,724.8,724.8,707.5,709.65,1494,165,1061774.0
2024-02-23,720.0,726.1,717.15,723.25,10063,224,7255292.0
2024-02-22,738.35,740.25,697.25,735.1,13589,798,9728361.0
