date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2023-11-15,2335.5,2362.35,2326.8,2356.9,104539,7726,245080614.0
2023-11-13,2325.0,2325.0,2311.65,2314.3,127884,11398,296124914.0
2023-11-12,2329.7,2332.55,2322.7,2330.9,35991,5983,83826829.0
2023-11-10,2308.0,2317.0,2298.15,2314.3,499796,28833,1154860502.0
2023-11-09,2330.55,2336.55,2305.0,2310.65,211600,16406,490264919.0
2023-11-08,2333.7,2341.0,2322.6,2336.6,317763,11631,742466917.0
2023-11-07,2337.75,2339.45,2320.0,2324.2,205366,13986,478570596.0
2023-11-06,2334.95,2340.0,2326.05,2339.05,326958,7763,763795176.0
2023-11-03,2328.65,2335.0,2314.9,2319.05,813331,24570,1891212161.0
2023-11-02,2309.0,2324.0,2306.5,2319.85,84609,6190,195915302.0
2023-11-01,2289.9,2317.5,2275.25,2296.65,263097,18143,606647673.0
2023-10-31,2332.95,2332.95,2282.8,2288.55,146839,11561,337859106.0
2023-10-30,2283.95,2324.6,2272.0,2311.35,271749,15127,628129166.0
2023-10-27,2242.0,2274.05,2236.05,2265.25,793186,35787,1797138811.0
2023-10-26,2257.95,2258.0,2221.05,2226.2,682499,44368,1522618870.0
2023-10-25,2252.95,2281.5,2242.4,2258.0,217481,14261,491632653.0
2023-10-23,2292.0,2306.7,2254.25,2262.65,250465,32558,572072543.0
2023-10-20,2302.45,2314.8,2296.05,2299.15,474553,23845,1091935160.0
2023-10-19,2314.95,2321.4,2301.55,2305.55,590336,10380,1364760175.0
2023-10-18,2355.25,2367.15,2320.2,2323.6,260837,19726,610573171.0
2023-10-17,2352.45,2360.0,2342.0,2355.6,135643,8197,318492365.0
2023-10-16,2348.0,2354.0,2336.0,2342.9,208827,14402,490175736.0
2023-10-13,2342.9,2358.0,2330.0,2350.7,686714,33408,1611447971.0
2023-10-12,2347.65,2359.0,2338.05,2348.85,308005,17181,723992477.0
2023-10-11,2314.9,2349.5,2314.0,2345.0,1384096,23361,3226759473.0
2023-10-10,2305.05,2317.9,2303.45,2308.55,87798,6959,202724703.0
2023-10-09,2309.95,2312.55,2295.0,2297.75,96352,10939,221899458.0
2023-10-06,2322.95,2325.0,2312.0,2317.9,356117,22839,825938305.0
2023-10-05,2325.0,2329.0,2310.0,2313.85,194952,20181,451799218.0
2023-10-04,2312.0,2318.7,2295.15,2314.3,269205,38023,620055984.0
2023-10-03,2337.0,2337.0,2316.0,2318.25,266890,26970,619874389.0
2023-09-29,2347.95,2369.5,2334.1,2346.5,152169,12293,358120336.0
2023-09-28,2384.0,2384.0,2325.65,2334.0,314683,28978,740147454.0
2023-09-27,2349.0,2371.7,2339.0,2369.1,248130,10879,584766710.0
2023-09-26,2343.7,2350.0,2336.1,2341.55,139096,9157,325619367.0
2023-09-25,2353.85,2359.9,2335.8,2340.05,191151,12614,447956448.0
2023-09-22,2368.15,2383.65,2350.0,2354.05,367560,17750,868521854.0
2023-09-21,2379.95,2390.0,2359.0,2364.55,358113,19461,849262005.0
2023-09-20,2422.95,2426.4,2361.6,2382.1,2533477,32656,6035373835.0
2023-09-18,2442.0,2451.55,2432.6,2436.0,139331,13491,340283147.0
2023-09-15,2466.05,2467.1,2449.6,2460.05,126487,8361,311063633.0
2023-09-14,2456.35,2465.0,2445.0,2451.1,231443,12502,567815058.0
2023-09-13,2443.55,2462.5,2415.6,2452.75,142946,8009,350586457.0
2023-09-12,2489.7,2489.7,2435.2,2437.95,157057,10026,385558351.0
2023-09-11,2455.95,2476.0,2452.05,2474.4,366596,19642,904748526.0
2023-09-08,2436.4,2455.65,2423.4,2449.05,445328,20022,1086820334.0
2023-09-07,2425.85,2438.0,2411.4,2431.5,101108,8440,245102455.0
2023-09-06,2422.95,2436.0,2418.0,2428.1,175250,14201,425305658.0
2023-09-05,2418.25,2433.95,2411.0,2423.95,201719,9661,488780442.0
2023-09-04,2410.05,2423.0,2406.0,2410.15,243913,20307,588708062.0
